id,language,original_question,english_translation,expected_support,retrieved_documents,hit,recall,precision,mrr,latency_ms
eval_001,en,What is Acyclovir Tablets USP indicated for?,What is Acyclovir Tablets USP indicated for?,"[('acyclovir', 'usage_clinical')]","[('description', 'usage_clinical'), ('description', 'usage_clinical'), ('acyclovir', 'usage_clinical'), ('acyclovir', 'usage_clinical'), ('acyclovir', 'usage_clinical'), ('acyclovir', 'usage_clinical'), ('acyclovir', 'usage_clinical'), ('acyclovir', 'usage_clinical')]",1,1.0,0.75,0.3333,143.94
eval_002,en,What is the dosage and administration for Acyclovir Tablets USP?,What is the dosage and administration for Acyclovir Tablets USP?,"[('acyclovir', 'usage_clinical')]","[('acyclovir usp400 and 800', 'general_info'), ('prescribing information', 'product_logistics'), ('acyclovir 400 and 800', 'product_logistics'), ('acyclovir usp200', 'general_info'), ('acyclovir 400', 'general_info'), ('acyclovir 400 and 800', 'safety_risk'), ('acyclovir 400 and 800', 'safety_risk'), ('acyclovir uspnivagen pharmaceuticals inc', 'general_info')]",0,0.0,0.0,0.0,73.66
eval_003,en,What warnings are listed for Acyclovir Tablets USP?,What warnings are listed for Acyclovir Tablets USP?,"[('acyclovir', 'safety_risk')]","[('acyclovir', 'safety_risk'), ('acyclovir', 'safety_risk'), ('acyclovir', 'safety_risk'), ('acyclovir', 'safety_risk'), ('acyclovir', 'safety_risk'), ('acyclovir 400', 'safety_risk'), ('acyclovir', 'safety_risk'), ('acyclovir', 'safety_risk')]",1,1.0,1.0,1.0,71.34
eval_004,en,"What are the contraindications for Cephalexin for Oral Suspension, USP?","What are the contraindications for Cephalexin for Oral Suspension, USP?","[('cephalexin for', 'safety_risk')]","[('cephalexin for', 'safety_risk'), ('cephalexin for usprx only', 'safety_risk'), ('cephalexin for', 'safety_risk'), ('cephalexin for', 'safety_risk'), ('description', 'safety_risk'), ('cephalexin for', 'safety_risk'), ('cephalexin for usprx only', 'safety_risk'), ('cephalexin for', 'safety_risk')]",1,1.0,0.875,1.0,72.19
eval_005,en,"What drug interactions are described for Cephalexin for Oral Suspension, USP?","What drug interactions are described for Cephalexin for Oral Suspension, USP?","[('cephalexin for', 'adverse_interactions')]","[('cephalexin for', 'adverse_interactions'), ('cephalexin for', 'adverse_interactions'), ('cephalexin for', 'adverse_interactions'), ('cephalexin for', 'adverse_interactions'), ('cephalexin for', 'adverse_interactions'), ('cephalexin for usprx only', 'adverse_interactions'), ('cephalexin for usprx only', 'adverse_interactions'), ('cephalexin for', 'adverse_interactions')]",1,1.0,1.0,1.0,79.26
eval_006,en,What is BusPIRone Hydrochloride Tablets indicated for?,What is BusPIRone Hydrochloride Tablets indicated for?,"[('buspirone hydrochloride', 'usage_clinical')]","[('buspirone hydrochloride patient instruction sheet included', 'product_logistics'), ('buspirone hydrochloride patient instruction sheet included', 'product_logistics'), ('buspirone hydrochloride usppatient instruction sheet included', 'product_logistics'), ('buspirone hydrochloride patient instruction sheet included', 'product_logistics'), ('buspirone hydrochloride patient instruction sheet included', 'product_logistics'), ('buspirone hydrochloride patient instruction sheet included', 'product_logistics'), ('buspirone hydrochloride patient instruction sheet included', 'product_logistics'), ('buspirone hydrochloride rx onlypatient instruction sheet included', 'product_logistics')]",0,0.0,0.0,0.0,192.4
eval_007,en,What is the starting dose for BusPIRone Hydrochloride Tablets?,What is the starting dose for BusPIRone Hydrochloride Tablets?,"[('buspirone hydrochloride', 'usage_clinical')]","[('buspirone hydrochloride', 'usage_clinical'), ('buspirone hydrochloride', 'usage_clinical'), ('buspirone hydrochloride', 'usage_clinical'), ('buspirone hydrochloride', 'usage_clinical'), ('buspirone hydrochloride', 'usage_clinical'), ('buspirone hydrochloride', 'usage_clinical'), ('buspirone hydrochloride', 'usage_clinical'), ('buspirone hydrochloride', 'usage_clinical')]",1,1.0,1.0,1.0,112.42
eval_008,en,What are the contraindications for Acyclovir Tablets USP?,What are the contraindications for Acyclovir Tablets USP?,"[('acyclovir', 'safety_risk')]","[('acyclovir 400', 'safety_risk'), ('acyclovir uspnivagen pharmaceuticals inc', 'safety_risk'), ('acyclovir usp400 and 800', 'safety_risk'), ('acyclovir usp400 and 800', 'safety_risk'), ('acyclovir usp400 and 800', 'safety_risk'), ('acyclovir usp400 and 800', 'safety_risk'), ('acyclovir', 'safety_risk'), ('acyclovir', 'safety_risk')]",1,1.0,1.0,1.0,68.51
eval_009,en,What is Cephalexin for Oral Suspension USP used for?,What is Cephalexin for Oral Suspension USP used for?,"[('cephalexin for', 'usage_clinical')]","[('cephalexin for', 'general_info'), ('cephalexin for usprx only', 'general_info'), ('cephalexin for usprx only', 'general_info'), ('description', 'general_info'), ('cephalexin for', 'general_info'), ('cephalexin for', 'usage_clinical'), ('cephalexin for', 'safety_risk'), ('cephalexin for usprx only', 'usage_clinical')]",1,1.0,0.25,0.1667,65.26
eval_010,en,"What warnings and precautions are listed for Cephalexin for Oral Suspension, USP?","What warnings and precautions are listed for Cephalexin for Oral Suspension, USP?","[('cephalexin for', 'safety_risk')]","[('cephalexin for', 'safety_risk'), ('cephalexin for usprx only', 'safety_risk'), ('cephalexin for', 'safety_risk'), ('cephalexin for', 'safety_risk'), ('cephalexin for usprx only', 'safety_risk'), ('cephalexin for', 'safety_risk'), ('these highlights do not include all the information needed to use cephalexin safely and effectively see full prescribing information for cephalexincephalexin for for useinitial us approval 1971', 'adverse_interactions'), ('these highlights do not include all the information needed to use cephalexin safely and effectively see full prescribing information for cephalexin cephalexin for useinitial us approval 1971', 'general_info')]",1,1.0,0.75,1.0,74.38
eval_011,en,What is the recommended dosage of Cephalexin for Oral Suspension USP for adults?,What is the recommended dosage of Cephalexin for Oral Suspension USP for adults?,"[('cephalexin for', 'usage_clinical')]","[('cephalexin for', 'usage_clinical'), ('cephalexin for', 'general_info'), ('cephalexin for', 'general_info'), ('cephalexin for', 'general_info'), ('these highlights do not include all the information needed to use cephalexin safely and effectively see full prescribing information for cephalexincephalexin for for useinitial us approval 1971', 'general_info'), ('these highlights do not include all the information needed to use cephalexin safely and effectively see full prescribing information for cephalexincephalexin for for useinitial us approval 1971', 'general_info'), ('cephalexin for', 'general_info'), ('cephalexin and cephalexin for usprx only', 'usage_clinical')]",1,1.0,0.25,1.0,68.83
eval_012,en,What are the adverse reactions reported for BusPIRone Hydrochloride Tablets?,What are the adverse reactions reported for BusPIRone Hydrochloride Tablets?,"[('buspirone hydrochloride', 'adverse_interactions')]","[('buspirone hydrochloride patient instruction sheet included', 'adverse_interactions'), ('buspirone hydrochloride patient instruction sheet included', 'general_info'), ('buspirone hydrochloride patient instruction sheet included', 'general_info'), ('buspirone hydrochloride', 'adverse_interactions'), ('buspirone hydrochloride', 'adverse_interactions'), ('buspirone hydrochloride', 'adverse_interactions'), ('buspirone hydrochloride', 'adverse_interactions'), ('buspirone hydrochloride', 'adverse_interactions')]",1,1.0,0.75,1.0,192.32
eval_013,en,What are the warnings listed for BusPIRone Hydrochloride Tablets?,What are the warnings listed for BusPIRone Hydrochloride Tablets?,"[('buspirone hydrochloride', 'safety_risk')]","[('buspirone hydrochloride patient instruction sheet included', 'safety_risk'), ('buspirone hydrochloride patient instruction sheet included', 'safety_risk'), ('buspirone hydrochloride patient instruction sheet included', 'safety_risk'), ('buspirone hydrochloride usppatient instruction sheet included', 'safety_risk'), ('buspirone hydrochloride patient instruction sheet included', 'safety_risk'), ('buspirone hydrochloride patient instruction sheet included', 'safety_risk'), ('buspirone hydrochloride', 'safety_risk'), ('buspirone hydrochloride', 'safety_risk')]",1,1.0,1.0,1.0,79.4
eval_014,en,What are the contraindications for BusPIRone Hydrochloride Tablets?,What are the contraindications for BusPIRone Hydrochloride Tablets?,"[('buspirone hydrochloride', 'safety_risk')]","[('buspirone hydrochloride rx onlypatient instruction sheet included', 'general_info'), ('buspirone hydrochloride rx onlypatient instruction sheet included', 'general_info'), ('buspirone hydrochloride patient instruction sheet included', 'adverse_interactions'), ('buspirone hydrochloride patient instruction sheet included', 'general_info'), ('buspirone hydrochloride 5 75 10 15 or 30', 'adverse_interactions'), ('buspirone hydrochloride', 'adverse_interactions'), ('buspirone hydrochloride 5 75 10 15 or 30', 'general_info'), ('buspirone hydrochloride patient instruction sheet included', 'general_info')]",0,0.0,0.0,0.0,77.82
eval_015,en,What drug interactions are described for BusPIRone Hydrochloride Tablets?,What drug interactions are described for BusPIRone Hydrochloride Tablets?,"[('buspirone hydrochloride', 'adverse_interactions')]","[('buspirone hydrochloride patient instruction sheet included', 'adverse_interactions'), ('buspirone hydrochloride patient instruction sheet included', 'adverse_interactions'), ('buspirone hydrochloride patient instruction sheet included', 'adverse_interactions'), ('buspirone hydrochloride patient instruction sheet included', 'adverse_interactions'), ('buspirone hydrochloride patient instruction sheet included', 'adverse_interactions'), ('buspirone hydrochloride patient instruction sheet included', 'adverse_interactions'), ('buspirone hydrochloride patient instruction sheet included', 'adverse_interactions'), ('buspirone hydrochloride patient instruction sheet included', 'adverse_interactions')]",1,1.0,1.0,1.0,95.98
eval_016,en,What are the clinical pharmacology details for Acyclovir Tablets USP?,What are the clinical pharmacology details for Acyclovir Tablets USP?,"[('acyclovir', 'pharmacology')]","[('acyclovir usp400 and 800', 'general_info'), ('acyclovir 400', 'general_info'), ('acyclovir', 'general_info'), ('acyclovir', 'general_info'), ('acyclovir', 'general_info'), ('acyclovir', 'general_info'), ('acyclovir uspnivagen pharmaceuticals inc', 'general_info'), ('acyclovir 400 and 800', 'general_info')]",0,0.0,0.0,0.0,111.05
eval_017,en,What precautions should be taken when using Acyclovir Tablets USP?,What precautions should be taken when using Acyclovir Tablets USP?,"[('acyclovir', 'safety_risk')]","[('acyclovir', 'safety_risk'), ('acyclovir', 'safety_risk'), ('acyclovir', 'safety_risk'), ('acyclovir', 'safety_risk'), ('acyclovir', 'safety_risk'), ('acyclovir', 'safety_risk'), ('acyclovir uspnivagen pharmaceuticals inc', 'safety_risk'), ('acyclovir', 'safety_risk')]",1,1.0,1.0,1.0,75.5
eval_018,en,What are the adverse reactions of Acyclovir Tablets USP?,What are the adverse reactions of Acyclovir Tablets USP?,"[('acyclovir', 'adverse_interactions')]","[('acyclovir uspnivagen pharmaceuticals inc', 'general_info'), ('acyclovir 400 and 800', 'general_info'), ('acyclovir 400 and 800', 'general_info'), ('acyclovir usp400 and 800', 'general_info'), ('acyclovir usp400 and 800', 'general_info'), ('acyclovir usp400 and 800', 'general_info'), ('acyclovir usp400 and 800', 'general_info'), ('acyclovir', 'general_info')]",0,0.0,0.0,0.0,65.31
eval_019,en,How is Acyclovir Tablets USP supplied and how should it be stored?,How is Acyclovir Tablets USP supplied and how should it be stored?,"[('acyclovir', 'product_logistics')]","[('', 'product_logistics'), ('description', 'product_logistics'), ('acyclovir usp400 and 800', 'product_logistics'), ('description', 'product_logistics'), ('acyclovir 400', 'product_logistics'), ('acyclovir usp400 and 800', 'product_logistics'), ('description', 'product_logistics'), ('acyclovir usp400 and 800', 'general_info')]",1,1.0,0.5,1.0,70.39
eval_020,en,What are the precautions for Cephalexin for Oral Suspension USP?,What are the precautions for Cephalexin for Oral Suspension USP?,"[('cephalexin for', 'special_populations')]","[('cephalexin for', 'safety_risk'), ('cephalexin for', 'safety_risk'), ('cephalexin for usprx only', 'safety_risk'), ('cephalexin for', 'safety_risk'), ('cephalexin for usprx only', 'safety_risk'), ('cephalexin for', 'safety_risk'), ('cephalexin for', 'general_info'), ('cephalexin for usprx only', 'general_info')]",0,0.0,0.0,0.0,71.19
eval_021,es,¿Para qué enfermedades víricas se puede usar el Aciclovir?,What viral diseases can Aciclovir be used for?,"[('acyclovir', 'usage_clinical')]","[('acyclovir 5', 'general_info'), ('acyclovir', 'general_info'), ('acyclovir', 'general_info'), ('acyclovir', 'general_info'), ('acyclovir 400', 'general_info'), ('acyclovir 400 and 800', 'general_info'), ('acyclovir 400 and 800', 'general_info'), ('acyclovir 400 and 800', 'general_info')]",0,0.0,0.0,0.0,70.25
eval_022,fr,Quelle est la fréquence de prise de l'aciclovir pour le zona ?,What is the frequency of aciclovir intake for herpes zoster?,"[('acyclovir', 'usage_clinical')]","[('acyclovir', 'general_info'), ('acyclovir', 'usage_clinical'), ('acy 400mg', 'general_info'), ('prescribing information acyclovir', 'general_info'), ('acyclovir', 'general_info'), ('acyclovir', 'general_info'), ('acyclovir', 'general_info'), ('acyclovir', 'general_info')]",1,1.0,0.125,0.5,66.24
eval_023,de,Welche Nierenprobleme können bei der Einnahme von Acyclovir auftreten?,What kidney problems can occur when taking acyclovir?,"[('acyclovir', 'safety_risk')]","[('acyclovir', 'adverse_interactions'), ('acyclovir', 'adverse_interactions'), ('acyclovir', 'adverse_interactions'), ('acyclovir', 'adverse_interactions'), ('acyclovir', 'adverse_interactions'), ('', 'adverse_interactions'), ('acyclovir', 'general_info'), ('acyclovir', 'general_info')]",0,0.0,0.0,0.0,62.24
