id,question_type,language,question,expected_refusal,expected_sections,retrieved_section_titles,retrieved_drug_names,retrieval_hit_at_k,refusal_correct,citation_present,retrieval_latency_ms,total_latency_ms,answer,manual_answer_correct,manual_grounded,manual_citation_correct
eval_001,answerable,en,What is Acyclovir Tablets USP indicated for?,False,,"HOW SUPPLIED | HOW SUPPLIED | HOW SUPPLIED | HOW SUPPLIED | HOW SUPPLIED | Each 400 mg tablet of acyclovir contains 400 mg of acyclovir, USP and the inactive ingredients magnesium stearate, microcrystalline cellulose PH101, povidone K30, and sodium starch glycolate (Type A) (Starch from Non GMO potatoes). | WARNINGS","Acyclovir Tablets, USP | PRESCRIBING INFORMATION | Acyclovir Tablets USP | ACYCLOVIR CAPSULES USP | ACYCLOVIR CAPSULES, USP | ACYCLOVIR CAPSULES, USP | PRESCRIBING INFORMATION",False,,False,175.86,175.92,Error: UC3M_API_KEY is not set.,,,
eval_002,answerable,en,What is the dosage and administration guidance for Acyclovir Tablets USP?,False,,ADVERSE REACTIONS | ADVERSE REACTIONS | OVERDOSAGE | OVERDOSAGE | ADVERSE REACTIONS | HOW SUPPLIED | HOW SUPPLIED,"PRESCRIBING INFORMATION | ACYCLOVIR CAPSULES USP | Acyclovir Tablets USP | ACYCLOVIR CAPSULES, USP | Acyclovir Tablets, USP | Acyclovir Tablets USP | PRESCRIBING INFORMATION",False,,False,19.47,19.58,Error: UC3M_API_KEY is not set.,,,
eval_003,answerable,en,What warnings are listed for Acyclovir Tablets USP?,False,,HOW SUPPLIED | HOW SUPPLIED | ADVERSE REACTIONS | HOW SUPPLIED | HOW SUPPLIED | WARNINGS | WARNINGS,"Acyclovir Tablets USP | Acyclovir Tablets, USP | PRESCRIBING INFORMATION | ACYCLOVIR CAPSULES, USP | PRESCRIBING INFORMATION | PRESCRIBING INFORMATION | Acyclovir Tablets USP",False,,False,25.39,25.45,Error: UC3M_API_KEY is not set.,,,
eval_004,answerable,en,What are the contraindications for Acyclovir Tablets USP?,False,,CONTRAINDICATIONS | CONTRAINDICATIONS | HOW SUPPLIED | HOW SUPPLIED | ADVERSE REACTIONS | HOW SUPPLIED | OVERDOSAGE,"Acyclovir Tablets USP | ACYCLOVIR CAPSULES, USP | Acyclovir Tablets USP | Acyclovir Tablets, USP | PRESCRIBING INFORMATION | PRESCRIBING INFORMATION | Acyclovir Tablets USP",False,,False,23.79,23.84,Error: UC3M_API_KEY is not set.,,,
eval_005,answerable,en,"What is Cephalexin for Oral Suspension, USP used for?",False,,"16 HOW SUPPLIED/STORAGE AND HANDLING | 1 INDICATIONS AND USAGE | Cephalexin should be administered with careful monitoring in the presence of renal impairment (creatinine clearance < 30 mL/min, with or without dialysis). Under such conditions, careful clinical observation and laboratory studies renal function monitoring should be conducted because safe dosage may be lower than that usually recommended [see Dosage and Administration (2.3)].Monitor patients longer for toxicity and drug interactions due to delayed clearance. | Cephalexin has been shown to be active against most isolates of the following bacteria both in vitro and in clinical infections [see Indications and Usage (1)] | 1 INDICATIONS AND USAGE | 8 USE IN SPECIFIC POPULATIONS | see Warnings and Precautions (","Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP | CEPHALEXIN | CEPHALEXIN | Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP",False,,False,25.13,25.28,Error: UC3M_API_KEY is not set.,,,
eval_006,answerable,en,"What is the recommended dosage for Cephalexin for Oral Suspension, USP?",False,,"Directions for Mixing | 2 DOSAGE AND ADMINISTRATION | 2 DOSAGE AND ADMINISTRATION | INDICATIONS AND USAGE | 16 HOW SUPPLIED/STORAGE AND HANDLING | Cephalexin should be administered with careful monitoring in the presence of renal impairment (creatinine clearance < 30 mL/min, with or without dialysis). Under such conditions, careful clinical observation and laboratory studies renal function monitoring should be conducted because safe dosage may be lower than that usually recommended [see Dosage and Administration (2.3)].Monitor patients longer for toxicity and drug interactions due to delayed clearance. | see Warnings and Precautions (","Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP | Cefdinir for Oral Suspension USP | Cephalexin for Oral Suspension, USP | CEPHALEXIN | Cephalexin for Oral Suspension, USP",False,,False,22.08,22.16,Error: UC3M_API_KEY is not set.,,,
eval_007,answerable,en,"What warnings and precautions are listed for Cephalexin for Oral Suspension, USP?",False,,"16 HOW SUPPLIED/STORAGE AND HANDLING | 1 INDICATIONS AND USAGE | Administer the following dosing regimens for Cephalexin capsules, USP to patients with renal impairment [see Warnings and Precautions (5.4) and Use in Specific Populations (8.6 )]. | Cephalexin has been shown to be active against most isolates of the following bacteria both in vitro and in clinical infections [see Indications and Usage (1)] | Cephalexin should be administered with careful monitoring in the presence of renal impairment (creatinine clearance < 30 mL/min, with or without dialysis). Under such conditions, careful clinical observation and laboratory studies renal function monitoring should be conducted because safe dosage may be lower than that usually recommended [see Dosage and Administration (2.3)].Monitor patients longer for toxicity and drug interactions due to delayed clearance. | see Warnings and Precautions ( | 1 INDICATIONS AND USAGE","Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP | CEPHALEXIN | CEPHALEXIN | CEPHALEXIN | Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP",False,,False,24.86,25.01,Error: UC3M_API_KEY is not set.,,,
eval_008,answerable,en,"What drug interactions are described for Cephalexin for Oral Suspension, USP?",False,,"1 INDICATIONS AND USAGE | 16 HOW SUPPLIED/STORAGE AND HANDLING | Cephalexin should be administered with careful monitoring in the presence of renal impairment (creatinine clearance < 30 mL/min, with or without dialysis). Under such conditions, careful clinical observation and laboratory studies renal function monitoring should be conducted because safe dosage may be lower than that usually recommended [see Dosage and Administration (2.3)].Monitor patients longer for toxicity and drug interactions due to delayed clearance. | 5 WARNINGS AND PRECAUTIONS | Cephalexin has been shown to be active against most isolates of the following bacteria both in vitro and in clinical infections [see Indications and Usage (1)] | 1 INDICATIONS AND USAGE | 8 USE IN SPECIFIC POPULATIONS","Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP | CEPHALEXIN | Cephalexin for Oral Suspension, USP | CEPHALEXIN | Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP",False,,False,23.9,24.01,Error: UC3M_API_KEY is not set.,,,
eval_009,answerable,en,"What are the contraindications for Cephalexin for Oral Suspension, USP?",False,,"1 INDICATIONS AND USAGE | 16 HOW SUPPLIED/STORAGE AND HANDLING | 5 WARNINGS AND PRECAUTIONS | Administer the following dosing regimens for Cephalexin capsules, USP to patients with renal impairment [see Warnings and Precautions (5.4) and Use in Specific Populations (8.6 )]. | 4 CONTRAINDICATIONS | 1 INDICATIONS AND USAGE | 5 WARNINGS AND PRECAUTIONS","Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP | CEPHALEXIN | Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP",False,,False,20.15,20.29,Error: UC3M_API_KEY is not set.,,,
eval_010,answerable,en,What is BusPIRone Hydrochloride Tablets indicated for?,False,,"ADVERSE REACTIONS, Postmarketing Experience | DRUG INTERACTIONS | The table that follows enumerates adverse events that occurred at a frequency of 1% or more among buspirone hydrochloride patients who participated in 4-week, controlled trials comparing buspirone hydrochloride tablets with placebo. The frequencies were obtained from pooled data for 17 trials. The prescriber should be aware that these figures cannot be used to predict the incidence of side effects in the course of usual medical practice where patient characteristics and other factors differ from those which prevailed in the clinical trials. Similarly, the cited frequencies cannot be compared with figures obtained from other clinical investigations involving different treatments, uses, and investigators. Comparison of the cited figures, however, does provide the prescribing physician with some basis for estimating the relative contribution of drug and nondrug factors to the side-effect incidence rate in the population studied. | The table that follows enumerates adverse events that occurred at a frequency of 1% or more among buspirone hydrochloride patients who participated in 4-week, controlled trials comparing buspirone hydrochloride tablets with placebo. The frequencies were obtained from pooled data for 17 trials. The prescriber should be aware that these figures cannot be used to predict the incidence of side effects in the course of usual medical practice where patient characteristics and other factors differ from those which prevailed in the clinical trials. Similarly, the cited frequencies cannot be compared with figures obtained from other clinical investigations involving different treatments, uses, and investigators. Comparison of the cited figures, however, does provide the prescribing physician with some basis for estimating the relative contribution of drug and nondrug factors to the side-effect incidence rate in the population studied. | Buspirone is metabolized primarily by oxidation, which in vitro has been shown to be mediated by cytochrome P450 3A4 (CYP3A4). (See PRECAUTIONS: DRUG INTERACTIONS.) Several hydroxylated derivatives and a pharmacologically active metabolite, 1-pyrimidinylpiperazine (1-PP), are produced. In animal models predictive of anxiolytic potential, 1-PP has about one quarter of the activity of buspirone, but is present in up to 20-fold greater amounts. However, this is probably not important in humans: blood samples from humans chronically exposed to buspirone hydrochloride tablets do not exhibit high levels of 1-PP; mean values are approximately 3 ng/mL and the highest human blood level recorded among 108 chronically dosed patients was 17 ng/mL, less than 1/200th of 1-PP levels found in animals given large doses of buspirone without signs of toxicity. | HOW SUPPLIED | DRUG INTERACTIONS","A-S Medication Solutions | Buspirone Hydrochloride Tablets, USP | BUSPIRONE | BUSPIRONE | BUSPIRONE | BusPIRone Hydrochloride Tablets | BusPIRone Hydrochloride Tablets",False,,False,24.9,24.98,Error: UC3M_API_KEY is not set.,,,
eval_011,answerable,en,What is the starting dose for BusPIRone Hydrochloride Tablets?,False,,"DOSAGE AND ADMINISTRATION | DOSAGE AND ADMINISTRATION | DOSAGE AND ADMINISTRATION | The risk of administering methylene blue by non-intravenous routes (such as oral tablets or by local injection) or in intravenous doses much lower than 1 mg per kg with buspirone hydrochloride tablets is unclear. The clinician should, nevertheless, be aware of the possibility of emergent symptoms of serotonin syndrome with such use (see CONTRAINDICATIONS, WARNINGS and DRUG INTERACTIONS). | ADVERSE REACTIONS, Postmarketing Experience | General symptomatic and supportive measures should be used along with immediate gastric lavage. Respiration, pulse, and blood pressure should be monitored as in all cases of drug overdosage. No specific antidote is known to buspirone, and dialyzability of buspirone has not been determined. | The table that follows enumerates adverse events that occurred at a frequency of 1% or more among buspirone hydrochloride patients who participated in 4-week, controlled trials comparing buspirone hydrochloride tablets with placebo. The frequencies were obtained from pooled data for 17 trials. The prescriber should be aware that these figures cannot be used to predict the incidence of side effects in the course of usual medical practice where patient characteristics and other factors differ from those which prevailed in the clinical trials. Similarly, the cited frequencies cannot be compared with figures obtained from other clinical investigations involving different treatments, uses, and investigators. Comparison of the cited figures, however, does provide the prescribing physician with some basis for estimating the relative contribution of drug and nondrug factors to the side-effect incidence rate in the population studied.","A-S Medication Solutions | BusPIRone Hydrochloride Tablets | Buspirone Hydrochloride Tablets, USP | BUSPIRONE | A-S Medication Solutions | BUSPIRONE | BUSPIRONE",False,,False,23.34,23.43,Error: UC3M_API_KEY is not set.,,,
